Source Node,Message,Signature_chain,Delivered Node,Pulse
0,REJECT,"[1, 0]",5,1
1,ACCEPT,[1],4,0
1,ACCEPT,[1],3,0
1,ACCEPT,[1],2,0
1,ACCEPT,[1],6,0
1,ACCEPT,[1],5,0
1,ACCEPT,[1],7,0
1,ACCEPT,[1],0,0
2,ACCEPT,"[1, 2]",5,1
3,ACCEPT,"[1, 3]",4,1
3,ACCEPT,"[1, 3]",1,1
3,ACCEPT,"[1, 3]",5,1
3,ACCEPT,"[1, 3]",2,1
3,ACCEPT,"[1, 3]",0,1
3,ACCEPT,"[1, 3]",6,1
3,ACCEPT,"[1, 4, 3]",5,2
3,ACCEPT,"[1, 4, 3]",4,2
3,ACCEPT,"[1, 4, 3]",1,2
3,ACCEPT,"[1, 4, 3]",2,2
3,ACCEPT,"[1, 4, 3]",0,2
4,ACCEPT,"[1, 4]",3,1
4,ACCEPT,"[1, 4]",5,1
4,ACCEPT,"[1, 4]",2,1
4,ACCEPT,"[1, 4]",0,1
4,ACCEPT,"[1, 4]",7,1
4,ACCEPT,"[1, 4]",6,1
4,ACCEPT,"[1, 3, 4]",5,2
5,ACCEPT,"[1, 5]",3,1
5,ACCEPT,"[1, 5]",2,1
5,ACCEPT,"[1, 5]",4,1
5,ACCEPT,"[1, 4, 5]",2,2
